counts,regions,group,hemisphere,ID,global_id,region_idx,hemisphere_idx,group_idx,animal_idx
117,ZI,ko,L,1,1 ko L,50,1,2,3
74,FF,ko,L,1,1 ko L,5,1,2,3
139,LGd,ko,R,1,1 ko R,8,2,2,4
2,VAL,ko,R,1,1 ko R,44,2,2,4
51,VM,ko,R,1,1 ko R,45,2,2,4
3,VPL,ko,R,1,1 ko R,47,2,2,4
11,VPM,ko,R,1,1 ko R,48,2,2,4
16,VPMpc,ko,R,1,1 ko R,49,2,2,4
70,SPFm,ko,R,1,1 ko R,38,2,2,4
12,SPFp,ko,R,1,1 ko R,39,2,2,4
190,PP,ko,R,1,1 ko R,26,2,2,4
5,MGd,ko,R,1,1 ko R,15,2,2,4
3,MGv,ko,R,1,1 ko R,17,2,2,4
2,MGm,ko,R,1,1 ko R,16,2,2,4
111,LP,ko,R,1,1 ko R,13,2,2,4
9,PO,ko,R,1,1 ko R,24,2,2,4
17,POL,ko,R,1,1 ko R,25,2,2,4
0,SGN,ko,R,1,1 ko R,37,2,2,4
11,LD,ko,R,1,1 ko R,7,2,2,4
1,MD,ko,R,1,1 ko R,14,2,2,4
11,PR,ko,R,1,1 ko R,27,2,2,4
8,CL,ko,R,1,1 ko R,3,2,2,4
1,RT,ko,R,1,1 ko R,34,2,2,4
77,IGL,ko,R,1,1 ko R,6,2,2,4
94,LGv,ko,R,1,1 ko R,9,2,2,4
7,MH,ko,R,1,1 ko R,18,2,2,4
1,LH,ko,R,1,1 ko R,10,2,2,4
29,PVH,ko,R,1,1 ko R,29,2,2,4
28,PVa,ko,R,1,1 ko R,28,2,2,4
708,PVi,ko,R,1,1 ko R,31,2,2,4
850,ARH,ko,R,1,1 ko R,2,2,2,4
657,DMH,ko,R,1,1 ko R,4,2,2,4
524,PVp,ko,R,1,1 ko R,32,2,2,4
39,SBPV,ko,R,1,1 ko R,35,2,2,4
10,SCH,ko,R,1,1 ko R,36,2,2,4
26,AHN,ko,R,1,1 ko R,1,2,2,4
17,LM,ko,R,1,1 ko R,12,2,2,4
40,MMme,ko,R,1,1 ko R,19,2,2,4
3,SUM,ko,R,1,1 ko R,40,2,2,4
437,TMd,ko,R,1,1 ko R,41,2,2,4
36,TMv,ko,R,1,1 ko R,42,2,2,4
1711,MPN,ko,R,1,1 ko R,20,2,2,4
47,PMd,ko,R,1,1 ko R,22,2,2,4
332,PMv,ko,R,1,1 ko R,23,2,2,4
5,PVHd,ko,R,1,1 ko R,30,2,2,4
6992,VMH,ko,R,1,1 ko R,46,2,2,4
357,PH,ko,R,1,1 ko R,21,2,2,4
71,LHA,ko,R,1,1 ko R,11,2,2,4
187,RCH,ko,R,1,1 ko R,33,2,2,4
1430,TU,ko,R,1,1 ko R,43,2,2,4
123,ZI,ko,R,1,1 ko R,50,2,2,4
68,FF,ko,R,1,1 ko R,5,2,2,4
104,LGd,ko,L,2,2 ko L,8,1,2,7
0,VAL,ko,L,2,2 ko L,44,1,2,7
40,VM,ko,L,2,2 ko L,45,1,2,7
2,VPL,ko,L,2,2 ko L,47,1,2,7
3,VPM,ko,L,2,2 ko L,48,1,2,7
0,VPMpc,ko,L,2,2 ko L,49,1,2,7
32,SPFm,ko,L,2,2 ko L,38,1,2,7
11,SPFp,ko,L,2,2 ko L,39,1,2,7
214,PP,ko,L,2,2 ko L,26,1,2,7
5,MGd,ko,L,2,2 ko L,15,1,2,7
3,MGv,ko,L,2,2 ko L,17,1,2,7
7,MGm,ko,L,2,2 ko L,16,1,2,7
112,LP,ko,L,2,2 ko L,13,1,2,7
9,PO,ko,L,2,2 ko L,24,1,2,7
16,POL,ko,L,2,2 ko L,25,1,2,7
3,SGN,ko,L,2,2 ko L,37,1,2,7
8,LD,ko,L,2,2 ko L,7,1,2,7
3,MD,ko,L,2,2 ko L,14,1,2,7
6,PR,ko,L,2,2 ko L,27,1,2,7
8,CL,ko,L,2,2 ko L,3,1,2,7
4,RT,ko,L,2,2 ko L,34,1,2,7
116,IGL,ko,L,2,2 ko L,6,1,2,7
121,LGv,ko,L,2,2 ko L,9,1,2,7
7,MH,ko,L,2,2 ko L,18,1,2,7
2,LH,ko,L,2,2 ko L,10,1,2,7
32,PVH,ko,L,2,2 ko L,29,1,2,7
14,PVa,ko,L,2,2 ko L,28,1,2,7
644,PVi,ko,L,2,2 ko L,31,1,2,7
736,ARH,ko,L,2,2 ko L,2,1,2,7
590,DMH,ko,L,2,2 ko L,4,1,2,7
726,PVp,ko,L,2,2 ko L,32,1,2,7
34,SBPV,ko,L,2,2 ko L,35,1,2,7
6,SCH,ko,L,2,2 ko L,36,1,2,7
37,AHN,ko,L,2,2 ko L,1,1,2,7
5,LM,ko,L,2,2 ko L,12,1,2,7
45,MMme,ko,L,2,2 ko L,19,1,2,7
8,SUM,ko,L,2,2 ko L,40,1,2,7
400,TMd,ko,L,2,2 ko L,41,1,2,7
39,TMv,ko,L,2,2 ko L,42,1,2,7
1487,MPN,ko,L,2,2 ko L,20,1,2,7
75,PMd,ko,L,2,2 ko L,22,1,2,7
413,PMv,ko,L,2,2 ko L,23,1,2,7
2,PVHd,ko,L,2,2 ko L,30,1,2,7
5937,VMH,ko,L,2,2 ko L,46,1,2,7
223,PH,ko,L,2,2 ko L,21,1,2,7
48,LHA,ko,L,2,2 ko L,11,1,2,7
79,RCH,ko,L,2,2 ko L,33,1,2,7
873,TU,ko,L,2,2 ko L,43,1,2,7
144,ZI,ko,L,2,2 ko L,50,1,2,7
75,FF,ko,L,2,2 ko L,5,1,2,7
124,LGd,ko,R,2,2 ko R,8,2,2,8
2,VAL,ko,R,2,2 ko R,44,2,2,8
46,VM,ko,R,2,2 ko R,45,2,2,8
5,VPL,ko,R,2,2 ko R,47,2,2,8
10,VPM,ko,R,2,2 ko R,48,2,2,8
2,VPMpc,ko,R,2,2 ko R,49,2,2,8
71,SPFm,ko,R,2,2 ko R,38,2,2,8
13,SPFp,ko,R,2,2 ko R,39,2,2,8
406,PP,ko,R,2,2 ko R,26,2,2,8
16,MGd,ko,R,2,2 ko R,15,2,2,8
30,MGv,ko,R,2,2 ko R,17,2,2,8
11,MGm,ko,R,2,2 ko R,16,2,2,8
106,LP,ko,R,2,2 ko R,13,2,2,8
6,PO,ko,R,2,2 ko R,24,2,2,8
17,POL,ko,R,2,2 ko R,25,2,2,8
0,SGN,ko,R,2,2 ko R,37,2,2,8
3,LD,ko,R,2,2 ko R,7,2,2,8
10,MD,ko,R,2,2 ko R,14,2,2,8
11,PR,ko,R,2,2 ko R,27,2,2,8
7,CL,ko,R,2,2 ko R,3,2,2,8
8,RT,ko,R,2,2 ko R,34,2,2,8
130,IGL,ko,R,2,2 ko R,6,2,2,8
154,LGv,ko,R,2,2 ko R,9,2,2,8
19,MH,ko,R,2,2 ko R,18,2,2,8
4,LH,ko,R,2,2 ko R,10,2,2,8
49,PVH,ko,R,2,2 ko R,29,2,2,8
16,PVa,ko,R,2,2 ko R,28,2,2,8
511,PVi,ko,R,2,2 ko R,31,2,2,8
745,ARH,ko,R,2,2 ko R,2,2,2,8
681,DMH,ko,R,2,2 ko R,4,2,2,8
673,PVp,ko,R,2,2 ko R,32,2,2,8
37,SBPV,ko,R,2,2 ko R,35,2,2,8
5,SCH,ko,R,2,2 ko R,36,2,2,8
46,AHN,ko,R,2,2 ko R,1,2,2,8
11,LM,ko,R,2,2 ko R,12,2,2,8
61,MMme,ko,R,2,2 ko R,19,2,2,8
8,SUM,ko,R,2,2 ko R,40,2,2,8
396,TMd,ko,R,2,2 ko R,41,2,2,8
80,TMv,ko,R,2,2 ko R,42,2,2,8
1593,MPN,ko,R,2,2 ko R,20,2,2,8
115,PMd,ko,R,2,2 ko R,22,2,2,8
467,PMv,ko,R,2,2 ko R,23,2,2,8
6,PVHd,ko,R,2,2 ko R,30,2,2,8
6793,VMH,ko,R,2,2 ko R,46,2,2,8
358,PH,ko,R,2,2 ko R,21,2,2,8
93,LHA,ko,R,2,2 ko R,11,2,2,8
112,RCH,ko,R,2,2 ko R,33,2,2,8
951,TU,ko,R,2,2 ko R,43,2,2,8
96,ZI,ko,R,2,2 ko R,50,2,2,8
107,FF,ko,R,2,2 ko R,5,2,2,8
