subject,race0W1B,object0NG1G,conditionRaceObj,conditionRace,rt,resp0DS1S,diffusionRT,ybin,lowerLim,upperLim
5,1,0,2,2,690,0,-0.69,1,-0.851,0.851
5,1,1,4,2,382,1,0.382,1,-0.851,0.851
5,1,1,4,2,609,1,0.609,1,-0.851,0.851
5,0,0,1,1,601,0,-0.601,1,-0.851,0.851
5,1,0,2,2,605,1,0.605,1,-0.851,0.851
5,1,1,4,2,609,1,0.609,1,-0.851,0.851
5,0,1,3,1,655,1,0.655,1,-0.851,0.851
5,0,1,3,1,618,1,0.618,1,-0.851,0.851
5,0,1,3,1,629,1,0.629,1,-0.851,0.851
5,1,0,2,2,638,0,-0.638,1,-0.851,0.851
5,0,0,1,1,688,0,-0.688,1,-0.851,0.851
5,0,1,3,1,621,1,0.621,1,-0.851,0.851
5,1,1,4,2,603,1,0.603,1,-0.851,0.851
5,0,0,1,1,536,0,-0.536,1,-0.851,0.851
5,0,1,3,1,682,1,0.682,1,-0.851,0.851
5,0,0,1,1,540,0,-0.54,1,-0.851,0.851
5,0,1,3,1,498,1,0.498,1,-0.851,0.851
5,1,1,4,2,464,1,0.464,1,-0.851,0.851
5,1,1,4,2,429,1,0.429,1,-0.851,0.851
5,0,0,1,1,836,0,-0.836,1,-0.851,0.851
5,1,0,2,2,619,0,-0.619,1,-0.851,0.851
5,1,0,2,2,620,0,-0.62,1,-0.851,0.851
5,1,1,4,2,680,1,0.68,1,-0.851,0.851
5,0,1,3,1,553,1,0.553,1,-0.851,0.851
5,0,1,3,1,732,1,0.732,1,-0.851,0.851
5,0,0,1,1,539,0,-0.539,1,-0.851,0.851
5,1,0,2,2,610,0,-0.61,1,-0.851,0.851
5,0,0,1,1,821,0,-0.821,1,-0.851,0.851
5,0,0,1,1,532,0,-0.532,1,-0.851,0.851
5,0,1,3,1,447,1,0.447,1,-0.851,0.851
5,1,0,2,2,702,0,-0.702,1,-0.851,0.851
5,0,0,1,1,NaN,NaN,NaN,0,-0.851,0.851
5,1,1,4,2,444,0,-0.444,1,-0.851,0.851
5,1,0,2,2,699,0,-0.699,1,-0.851,0.851
5,1,1,4,2,552,1,0.552,1,-0.851,0.851
5,0,1,3,1,733,1,0.733,1,-0.851,0.851
5,0,0,1,1,500,0,-0.5,1,-0.851,0.851
5,1,1,4,2,529,1,0.529,1,-0.851,0.851
5,0,0,1,1,486,0,-0.486,1,-0.851,0.851
5,1,1,4,2,548,1,0.548,1,-0.851,0.851
5,0,0,1,1,575,0,-0.575,1,-0.851,0.851
5,0,1,3,1,556,1,0.556,1,-0.851,0.851
5,1,1,4,2,457,1,0.457,1,-0.851,0.851
5,0,0,1,1,535,0,-0.535,1,-0.851,0.851
5,1,0,2,2,665,0,-0.665,1,-0.851,0.851
5,0,1,3,1,679,1,0.679,1,-0.851,0.851
5,1,1,4,2,545,1,0.545,1,-0.851,0.851
