,index,Brain,BrainRegion,BregmanRegion,Cohort,Date,VOID_PERCENTAGE,Cfos_Counts,counts_per_area,rat_ID,group,surgery,stimulus
149,185,2,VCA1,n4.80,1,24-11-17,2.5916216068600786,458.0,746.5630789482224,2,Sham_Novel,Sham,Novel
150,186,2,VCA1,n4.80,1,24-11-17,3.141903902425605,468.0,767.1976585856623,2,Sham_Novel,Sham,Novel
151,187,2,IDG,n4.80,1,24-11-17,9.29740690873211,210.0,367.61814153206024,2,Sham_Novel,Sham,Novel
152,188,2,ICA1,n4.80,1,24-11-17,9.668090699967108,84.0,147.6506761020646,2,Sham_Novel,Sham,Novel
153,189,2,VCA3,n4.80,1,24-11-17,7.364837148248483,164.0,281.10289765581024,2,Sham_Novel,Sham,Novel
154,191,2,VCA1,n4.80,1,24-11-17,18.865370415948664,183.0,358.1312146407379,2,Sham_Novel,Sham,Novel
155,192,2,ICA1,n4.80,1,24-11-17,15.74835233954154,113.0,212.95967939469207,2,Sham_Novel,Sham,Novel
156,193,2,ICA1,n4.80,1,24-11-17,8.111791288042074,252.0,435.4498036918814,2,Sham_Novel,Sham,Novel
157,194,2,ICA1,n4.80,1,24-11-17,4.191900746256489,311.0,515.4131663201864,2,Sham_Novel,Sham,Novel
158,195,2,ICA3,n4.80,1,24-11-17,3.005019282889469,171.0,279.9266153621412,2,Sham_Novel,Sham,Novel
159,196,2,VCA1,n4.80,1,24-11-17,17.243212009877137,131.0,251.34196908883115,2,Sham_Novel,Sham,Novel
160,197,2,VDG,n4.80,1,24-11-17,18.42126822873991,189.0,367.8596882096637,2,Sham_Novel,Sham,Novel
161,198,2,V2C,n4.80,1,24-11-17,8.937633892798429,213.0,371.39667950548,2,Sham_Novel,Sham,Novel
162,199,2,V2C,n4.80,1,24-11-17,17.029528642838393,349.0,667.8811915721676,2,Sham_Novel,Sham,Novel
163,204,3,VCA1,n4.80,1,27-11-17,13.415596077371742,377.0,691.3516798713925,3,Lesion_Familiar,Lesion,Familiar
164,207,3,LENT,n7.30,1,27-11-17,15.082938582384804,313.0,585.2571449875777,3,Lesion_Familiar,Lesion,Familiar
165,208,3,IDG,n4.80,1,27-11-17,12.693757168605483,315.0,572.8785987631645,3,Lesion_Familiar,Lesion,Familiar
166,209,3,ICA3,n4.80,1,27-11-17,23.729007852352787,269.0,560.0028379326396,3,Lesion_Familiar,Lesion,Familiar
167,215,3,V2C,n5.30,1,27-11-17,13.379340563040865,452.0,828.5415507511246,3,Lesion_Familiar,Lesion,Familiar
168,216,3,ACC,2.70,1,27-11-17,19.113408264281514,426.0,836.2389779168413,3,Lesion_Familiar,Lesion,Familiar
169,217,3,M2C,2.70,1,27-11-17,5.711707277053064,706.0,1188.89711368631,3,Lesion_Familiar,Lesion,Familiar
170,218,3,IFC,2.70,1,27-11-17,8.487707495829614,501.0,869.2718870641315,3,Lesion_Familiar,Lesion,Familiar
171,219,3,DPC,2.70,1,27-11-17,10.73454207345421,630.0,1120.609902604939,3,Lesion_Familiar,Lesion,Familiar
172,220,3,PRL,2.70,1,27-11-17,20.221237728005764,429.0,853.8220016975924,3,Lesion_Familiar,Lesion,Familiar
173,221,3,DPC,2.70,1,27-11-17,17.603364465563192,204.0,393.1135671099111,3,Lesion_Familiar,Lesion,Familiar
174,222,3,PRL,2.70,1,27-11-17,16.39849254465014,97.0,184.22771668717323,3,Lesion_Familiar,Lesion,Familiar
175,224,3,ACC,2.70,1,27-11-17,21.532579605658356,233.0,471.48066700012316,3,Lesion_Familiar,Lesion,Familiar
176,225,3,M2C,2.70,1,27-11-17,2.506144519088977,284.0,462.528436392916,3,Lesion_Familiar,Lesion,Familiar
177,226,3,PRL,2.70,1,27-11-17,2.6912993609699982,348.0,567.8386038165219,3,Lesion_Familiar,Lesion,Familiar
178,227,3,PRL,2.70,1,27-11-17,0.5628379485498864,362.0,578.0390694773638,3,Lesion_Familiar,Lesion,Familiar
179,228,3,ACC,2.70,1,27-11-17,7.174067398547092,320.0,547.3662311691621,3,Lesion_Familiar,Lesion,Familiar
180,229,3,M2C,2.70,1,27-11-17,10.923589491506997,312.0,556.1465272113327,3,Lesion_Familiar,Lesion,Familiar
181,230,3,DDG,n2.52,1,27-11-17,0.37167513244853256,434.0,691.6784500184696,3,Lesion_Familiar,Lesion,Familiar
182,231,3,DCA1,n2.52,1,27-11-17,9.74567232750832,464.0,816.2952866640634,3,Lesion_Familiar,Lesion,Familiar
183,232,3,DCA3,n2.52,1,27-11-17,0.9694533322394416,421.0,675.0100875260737,3,Lesion_Familiar,Lesion,Familiar
184,233,3,PRH,n6.30,1,27-11-17,18.147086132503272,251.0,486.8968005766699,3,Lesion_Familiar,Lesion,Familiar
185,234,3,V2C,n4.80,1,27-11-17,2.971531708917853,535.0,875.4915326358099,3,Lesion_Familiar,Lesion,Familiar
186,235,3,V2C,n4.80,1,27-11-17,2.9619602373724985,445.0,728.1407550380455,3,Lesion_Familiar,Lesion,Familiar
187,236,3,VCA1,n4.80,1,27-11-17,3.0243115377253202,1032.0,1689.717762723999,3,Lesion_Familiar,Lesion,Familiar
188,237,3,IDG,n4.80,1,27-11-17,3.7301920424750015,654.0,1078.661024493571,3,Lesion_Familiar,Lesion,Familiar
189,238,3,ICA1,n4.80,1,27-11-17,4.641344460858289,593.0,987.3972600193307,3,Lesion_Familiar,Lesion,Familiar
190,239,3,VCA1,n4.80,1,27-11-17,8.807690207001746,937.0,1631.4685962579958,3,Lesion_Familiar,Lesion,Familiar
191,240,3,VCA3,n4.80,1,27-11-17,2.7114611534990742,774.0,1263.213107807311,3,Lesion_Familiar,Lesion,Familiar
192,241,3,VDG,n4.80,1,27-11-17,2.660028876570414,335.0,546.4506383945189,3,Lesion_Familiar,Lesion,Familiar
193,242,3,VCA3,n4.80,1,27-11-17,14.682289491712472,610.0,1135.2407868289806,3,Lesion_Familiar,Lesion,Familiar
194,243,3,ICA3,n4.80,1,27-11-17,7.572594005791905,392.0,673.4147833311993,3,Lesion_Familiar,Lesion,Familiar
195,244,3,IDG,n4.80,1,27-11-17,10.694702595888655,161.0,286.250331724352,3,Lesion_Familiar,Lesion,Familiar
196,245,3,DDG,n2.52,1,27-11-17,14.12502048173024,221.0,408.6231533217668,3,Lesion_Familiar,Lesion,Familiar
197,246,3,DCA1,n2.52,1,27-11-17,6.866022174886862,179.0,305.17027023904933,3,Lesion_Familiar,Lesion,Familiar
198,247,3,DCA3,n2.52,1,27-11-17,4.057947201226733,46.0,76.1283065020968,3,Lesion_Familiar,Lesion,Familiar
199,249,3,DCA1,n2.52,1,27-11-17,7.71223573228152,236.0,406.03663658354753,3,Lesion_Familiar,Lesion,Familiar
